"Name","Price","Image"
"Orejas de Liebre para Perro - 3 Unidades.","1.35 €/u","https://www.petsonic.com/18063-large_default/hobbit-alf-orejas-liebre-para-perro.jpg"
"Palitos de Piel para Perro 100 unidades - Ø 5 a 6 mm","7.99 €/u","https://www.petsonic.com/14046-large_default/trixie-palitos-piel-100-unidades-para-perros.jpg"
"Palitos de Piel para Perro 100 unidades - Ø 7 a 8 mm","9.49 €/u","https://www.petsonic.com/14046-large_default/trixie-palitos-piel-100-unidades-para-perros.jpg"
"Palitos de Piel para Perro 100 unidades - Ø 9 a 10 mm","15.49 €/u","https://www.petsonic.com/14046-large_default/trixie-palitos-piel-100-unidades-para-perros.jpg"
"Zapato Piel Masticable para Perro (10 unidades) - 12 cm","6.90 €/u","https://www.petsonic.com/14044-large_default/trixie-zapato-piel-masticable-10-unidades-para-perros.jpg"
"Hueso Piel Sabor Barbacoa para Perro - 13 cm","1.99 €/u","https://www.petsonic.com/14023-large_default/hobbit-alf-hueso-piel-sabor-barbacoa-para-perros.jpg"
"Hueso de Piel Sabor Chocolate para Perro - 13 cm","1.99 €/u","https://www.petsonic.com/14024-large_default/hobbit-alf-hueso-piel-sabor-chocolate-para-perros.jpg"
"Hueso Piel con Fluor para Perro - 13 cm","1.89 €/u","https://www.petsonic.com/14022-large_default/hobbit-alf-hueso-piel-fluor-para-perros.jpg"
"Hueso Piel con Fluor para Perro - 25 cm","5.13 €/u","https://www.petsonic.com/14022-large_default/hobbit-alf-hueso-piel-fluor-para-perros.jpg"
"Sea Jerky Tiras de Piel de Pescado Deshidratado para Perro - 100 Gr.","4.99 €/u","https://www.petsonic.com/14064-large_default/fish4dogs-sea-jerky-tiras-piel-pescado-deshidratado-para-perros.jpg"
"Rosco Piel Fluor para Perro - 1 Unidad.","1.99 €/u","https://www.petsonic.com/14035-large_default/hobbit-alf-rosco-piel-fluor-para-perros.jpg"
"Mini Hueso Piel Fluor para Perros - 10 Unidades.","6.99 €/u","https://www.petsonic.com/14030-large_default/hobbit-alf-mini-hueso-piel-fluor-para-perros.jpg"
"Sea Jerky Huesos de Piel de Pescado Deshidratada para Perro - 100 Gr.","3.56 €/u","https://www.petsonic.com/14076-large_default/fish4dogs-sea-jerky-huesos-piel-pescado-deshidratada-para-perros.jpg"
"Cigarrillos Colores de Piel para Perro - 100 unidades","5.19 €/u","https://www.petsonic.com/15885-large_default/dimac-cigarrillos-colores-piel-para-perros.jpg"
"Snack de Piel para Perro - 4 Unidades*","9.44 €/u","https://www.petsonic.com/10104-large_default/bravo-snack-piel-para-perros.jpg"
"Snack Piel Surtido para Perro - 7 Unidades.","10.34 €/u","https://www.petsonic.com/10105-large_default/bravo-snack-piel-surtido-para-perros.jpg"
"Caja con Rollos de Piel Deshidratada para Perro - 3 Unidades.","9.99 €/u","https://www.petsonic.com/10672-large_default/bravo-caja-rollos-piel-deshidratada-para-perro.jpg"
"Hueso Piel con Carne de Pollo para perro - 6 cm*","2.49 €/u","https://www.petsonic.com/11053-large_default/nayeco-hueso-piel-carne-pollo-para-perros.jpg"
"Hueso Piel con Carne de Pollo para perro - 11 cm","2.35 €/u","https://www.petsonic.com/11053-large_default/nayeco-hueso-piel-carne-pollo-para-perros.jpg"
"Hueso Piel Carne de Salmón para Perro - 6 cm*","2.62 €/u","https://www.petsonic.com/11052-large_default/nayeco-hueso-piel-carne-salmon-para-perros.jpg"
"Hueso Piel Carne de Salmón para Perro - 11 cm","2.99 €/u","https://www.petsonic.com/11052-large_default/nayeco-hueso-piel-carne-salmon-para-perros.jpg"
"Huesos Piel Prensada para Perro - 2 x 8 cm","1.18 €/u","https://www.petsonic.com/12999-large_default/huesos-piel-prensada-para-perro.jpg"
"Huesos Piel Prensada para Perro - 21.5 cm","3.69 €/u","https://www.petsonic.com/12999-large_default/huesos-piel-prensada-para-perro.jpg"
"Huesos Piel Prensada para Perro - 27 cm","4.08 €/u","https://www.petsonic.com/12999-large_default/huesos-piel-prensada-para-perro.jpg"
"Huesos Piel Prensada para Perro - 32 cm","5.69 €/u","https://www.petsonic.com/12999-large_default/huesos-piel-prensada-para-perro.jpg"
"Barritas de Salmón con piel para Perro - 100 Gr.","2.99 €/u","https://www.petsonic.com/17616-large_default/barritas-salmon-piel-para-perro.jpg"
